รหัสสถานี,ชื่อสถานี,รายละเอียดจุดติดตั้งสถานี,จังหวัด,english_name,adm1__id
13T,ต.ตลาดขวัญ อ.เมือง จ.นนทบุรี,กรมควบคุมโรค,จ.นนทบุรี,Nonthaburi,36
22T,ต.บางพูด อ.ปากเกร็ด จ.นนทบุรี,มหาวิทยาลัยสุโขทัยธรรมาธิราช,จ.นนทบุรี,Nonthaburi,36
14T,ต.อ้อมน้อย อ.กระทุ่มแบน จ.สมุทรสาคร,หน่วยบริการตำรวจทางหลวงศรีสำราญ สมุทรสาคร,จ.สมุทรสาคร,Samut Sakhon,58
27T,ต.มหาชัย อ.เมือง จ.สมุทรสาคร,โรงเรียนสมุทรสาครวิทยาลัย,จ.สมุทรสาคร,Samut Sakhon,58
20T,ต.คลองหนึ่ง อ.คลองหลวง จ.ปทุมธานี,มหาวิทยาลัยกรุงเทพ (วิทยาเขตรังสิต),จ.ปทุมธานี,Pathum Thani,37
81T,ต.นครปฐม อ.เมือง จ.นครปฐม,อ่างเก็บน้ำประปา นครปฐม,จ.นครปฐม,Nakhon Pathom,27
21T,ต.ประตูชัย อ.พระนครศรีอยุธยา จ.พระนครศรีอยุธยา,โรงเรียนอยุธยาวิทยาลัย,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,46
24T,ต.หน้าพระลาน อ.เฉลิมพระเกียรติ จ.สระบุรี ,สถานีตำรวจภูธรตำบลหน้าพระลาน,,,
25T,ต.ปากเพรียว อ.เมือง จ.สระบุรี ,สถานีดับเพลิงพระลักษณ์,,,
26T,ต.หน้าเมือง อ.เมือง จ.ราชบุรี,สำนักงานสิ่งแวดล้อมภาคที่ ๘ ราชบุรี,จ.ราชบุรี,Ratchaburi,52
79T,ต.บ้านเหนือ อ.เมือง จ.กาญจนบุรี,สถานีอุตุนิยมวิทยากาญจนบุรี,จ.กาญจนบุรี,Kanchanaburi,16
84T,ต.ลาดใหญ่ อ.เมือง จ.สมุทรสงคราม,สำนักงานสาธารณสุขจังหวัดสมุทรสงคราม,จ.สมุทรสงคราม,Samut Songkhram,59
85T,ต.ดอนกำยาน อ.เมือง จ.สุพรรณบุรี,สนามกีฬากลางจังหวัดสุพรรณบุรี,จ.สุพรรณบุรี,Suphan Buri,66
99T,ต.ทะเลชุบศร อ.เมืองลพบุรี จ.ลพบุรี,สถานีอุตุนิยมวิทยาลพบุรี,จ.ลพบุรี,Lop Buri,22
103T,ต.หัวหิน อ.หัวหิน จ.ประจวบคีรีขันธ์,สถานีตรวจอากาศหัวหิน สถานีอุตุนิยมวิทยาประจวบคีรีขันธ์,จ.ประจวบคีรีขันธ์,Prachuap Khiri Khan,50
